"","platform_action","group","mode","end_user_allowed"
"79","Followed User","Connected to user","Invest.for.Self.Us","TRUE"
"80","Invited User To Champion Group Space","Extended Invitation","Champion.Others","TRUE"
"81","Invited User To Gloofie Space","Extended Invitation","Champion.Others","TRUE"
"82","Invited User To Group Space","Extended Invitation","Champion.Others","TRUE"
"83","Invited User To Private Space","Extended Invitation","Champion.Others","TRUE"
"84","Invited User To Shared Space","Extended Invitation","Champion.Others","TRUE"
"85","Invited User To Unactivated Space","Extended Invitation","Champion.Others","TRUE"
"86","Invited User To User Group Space","Extended Invitation","Champion.Others","TRUE"
"87","Joined Champion Group Space","Joined Space","Invest.for.Self.Us","TRUE"
"88","Joined Gloofie Space","Joined Space","Invest.for.Self.Us","TRUE"
"89","Joined Group Space","Joined Space","Invest.for.Self.Us","TRUE"
"90","Joined Private Space","Joined Space","Invest.for.Self.Us","TRUE"
"91","Joined Shared Space","Joined Space","Invest.for.Self.Us","TRUE"
"92","Joined Unactivated Space","Joined Space","Invest.for.Self.Us","TRUE"
"93","Joined User Group Space","Joined Space","Invest.for.Self.Us","TRUE"
"94","Left Champion Group Space","Left Space","Disengage","TRUE"
"95","Left Gloofie Space","Left Space","Disengage","TRUE"
"96","Left Group Space","Left Space","Disengage","TRUE"
"97","Left Private Space","Left Space","Disengage","TRUE"
"98","Left Shared Space","Left Space","Disengage","TRUE"
"99","Made Collection","Created","Champion.Others","TRUE"
"100","Made Collection Private","","","TRUE"
"101","Made Collection Public","","","TRUE"
"102","Made Moment Private","","","TRUE"
"103","Made Moment Public","","","TRUE"
"104","Post to Timeline","Posted","Invest.for.Self.Us","TRUE"
"105","Posted to Champion Group Space","Posted","Champion.Others","TRUE"
"106","Posted to Group Space","Posted","Champion.Others","TRUE"
"107","Posted to Private Space","Posted","Invest.for.Self.Us","TRUE"
"108","Posted to Shared Space","Posted","Invest.for.Self.Us","TRUE"
"109","Posted to User Group Space","Posted","Invest.for.Self.Us","TRUE"
"110","Progressed Through Content","Progressed Through Content","Receive.Value","TRUE"
"111","Rated Champion","Rated Champion or Program","Champion.Others","TRUE"
"112","Rated Program","Rated Champion or Program","Champion.Others","TRUE"
"113","Shared Collection to Champion Group Space","Shared","Champion.Others","TRUE"
"114","Shared Collection to Group Space","Shared","Champion.Others","TRUE"
"115","Shared Collection to Private Space","Shared","Champion.Others","TRUE"
"116","Shared Collection to Shared Space","Shared","Champion.Others","TRUE"
"117","Shared Collection to Timeline","Shared","Champion.Others","TRUE"
"118","Shared Collection to User Group Space","Shared","Champion.Others","TRUE"
"119","Shared Form Response to Champion Group Space","Shared","Champion.Others","TRUE"
"120","Shared Form Response to Group Space","Shared","Champion.Others","TRUE"
"121","Shared Form Response to Private Space","Shared","Invest.for.Self.Us","TRUE"
"122","Shared Form Response to Shared Space","Shared","Invest.for.Self.Us","TRUE"
"123","Shared Form Response to Timeline","Shared","Invest.for.Self.Us","TRUE"
"124","Shared Form Response to User Group Space","Shared","Invest.for.Self.Us","TRUE"
"125","Shared Link to Champion Group Space","Shared","Champion.Others","TRUE"
"126","Shared Link to Group Space","Shared","Champion.Others","TRUE"
"127","Shared Link to Private Space","Shared","Invest.for.Self.Us","TRUE"
"128","Shared Link to Shared Space","Shared","Invest.for.Self.Us","TRUE"
"129","Shared Link to Timeline","Shared","Invest.for.Self.Us","TRUE"
"130","Shared Link to User Group Space","Shared","Invest.for.Self.Us","TRUE"
"131","Shared Media to Champion Group Space","Shared","Champion.Others","TRUE"
"132","Shared Media to Group Space","Shared","Shared","TRUE"
"133","Shared Media to Private Space","Shared","Invest.for.Self.Us","TRUE"
"134","Shared Media to Shared Space","Shared","Invest.for.Self.Us","TRUE"
"135","Shared Media to Timeline","Shared","Invest.for.Self.Us","TRUE"
"136","Shared Media to User Group Space","Shared","Invest.for.Self.Us","TRUE"
"137","Shared Moment to Champion Group Space","Shared","Champion.Others","TRUE"
"138","Shared Moment to Group Space","Shared","Champion.Others","TRUE"
"139","Shared Moment to Private Space","Shared","Invest.for.Self.Us","TRUE"
"140","Shared Moment to Shared Space","Shared","Invest.for.Self.Us","TRUE"
"141","Shared Moment to Timeline","Shared","Champion.Others","TRUE"
"142","Shared Moment to User Group Space","Shared","Champion.Others","TRUE"
"143","Shared Note to Champion Group Space","Shared","Champion.Others","TRUE"
"144","Shared Note to Group Space","Shared","Champion.Others","TRUE"
"145","Shared Note to Private Space","Shared","Invest.for.Self.Us","TRUE"
"146","Shared Note to Shared Space","Shared","Invest.for.Self.Us","TRUE"
"147","Shared Note to Timeline","Shared","Invest.for.Self.Us","TRUE"
"148","Shared Note to User Group Space","Shared","Invest.for.Self.Us","TRUE"
"149","Shared Post to Champion Group Space","Shared","Champion.Others","TRUE"
"150","Shared Post to Group Space","Shared","Champion.Others","TRUE"
"151","Shared Post to Private Space","Shared","Invest.for.Self.Us","TRUE"
"152","Shared Post to Shared Space","Shared","Invest.for.Self.Us","TRUE"
"153","Shared Post to Timeline","Shared","Invest.for.Self.Us","TRUE"
"154","Shared Post to User Group Space","Shared","Invest.for.Self.Us","TRUE"
"155","Shared Program to Champion Group Space","Shared","Champion.Others","TRUE"
"156","Shared Program to Group Space","Shared","Champion.Others","TRUE"
"157","Shared Program to Private Space","Shared","Invest.for.Self.Us","TRUE"
"158","Shared Program to Shared Space","Shared","Invest.for.Self.Us","TRUE"
"159","Shared Program to Timeline","Shared","Invest.for.Self.Us","TRUE"
"160","Shared Program to User Group Space","Shared","Invest.for.Self.Us","TRUE"
"161","Shared Result to Champion Group Space","Shared","Champion.Others","TRUE"
"162","Shared Result to Group Space","Shared","Champion.Others","TRUE"
"163","Shared Result to Private Space","Shared","Invest.for.Self.Us","TRUE"
"164","Shared Result to Shared Space","Shared","Invest.for.Self.Us","TRUE"
"165","Shared Result to Timeline","Shared","Invest.for.Self.Us","TRUE"
"166","Shared Result to User Group Space","Shared","Invest.for.Self.Us","TRUE"
"167","Space Membership Invitation Accepted","Joined Space","Invest.for.Self.Us","TRUE"
"168","Space Membership Invitation Declined","Invitation Declined","Disengage","TRUE"
"169","Started Assessment","Started Assessment","Receive.Value","TRUE"
"170","Started Content","","","TRUE"
"171","Started Moment","Started Moment","Receive.Value","TRUE"
"172","Started Program","Started Program","Receive.Value","TRUE"
"173","Started Session","Started Session","","TRUE"
"174","Unpublished Program","","Champion.Others","FALSE"
"175","Updated AddToQueueElement Element","","Champion.Others","FALSE"
"176","Updated AssessmentMetricPrerequisite Prerequisite","","Champion.Others","FALSE"
"177","Updated AssessmentResultPrerequisite Prerequisite","","","FALSE"
"178","Updated BlockquoteElement Element","","Champion.Others","FALSE"
"179","Updated CohortConnectElement Element","","","FALSE"
"180","Updated ContentNode Node","","Champion.Others","FALSE"
"181","Updated CreateSpaceElement Element","","Champion.Others","FALSE"
"182","Updated DisplayChildrenElement Element","","Champion.Others","FALSE"
"183","Updated Element","","Champion.Others","FALSE"
"184","Updated EparachuteElement Element","","Champion.Others","FALSE"
"185","Updated FormElement Element","","Champion.Others","FALSE"
"186","Updated HeaderElement Element","","Champion.Others","FALSE"
"187","Updated HorizontalRuleElement Element","","Champion.Others","FALSE"
"188","Updated ImageElement Element","","Champion.Others","FALSE"
"189","Updated IntervalSinceStartPrerequisite Prerequisite","","Champion.Others","FALSE"
"190","Updated JoinGroupSpaceElement Element","","Champion.Others","FALSE"
"191","Updated ListElement Element","","Champion.Others","FALSE"
"192","Updated MomentElement Element","","Champion.Others","FALSE"
"193","Updated Node","","Champion.Others","FALSE"
"194","Updated ParagraphElement Element","","Champion.Others","FALSE"
"195","Updated PlatformLinkElement Element","","Champion.Others","FALSE"
"196","Updated Prerequisite","","Champion.Others","FALSE"
"197","Updated Program","","Champion.Others","FALSE"
"198","Updated QuestionElement Element","","Champion.Others","FALSE"
"199","Updated ReferenceNode Node","","","FALSE"
"200","Updated ResultElement Element","","Champion.Others","FALSE"
"201","Updated ToDoListElement Element","","Champion.Others","FALSE"
"202","Updated UnlockDatePrerequisite Prerequisite","","Champion.Others","FALSE"
"203","Updated UserImageElement Element","","Champion.Others","FALSE"
"204","Updated UserNoteElement Element","","Champion.Others","FALSE"
"205","Updated VideoElement Element","","Champion.Others","FALSE"
"206","Updated WebLinkElement Element","","Champion.Others","FALSE"
"207","User Added Page","","","FALSE"
"208","User Onboarded","User Onboarded","Receive.Value","TRUE"
"209","User Removed Page","","","FALSE"
